,year,tournament,round,match_time,player1,player2,player1_set1,player2_set1,player1_set2,player2_set2,player1_set3,player2_set3
191,2014,Yonex-Sunrise Indonesian Masters 2014,R32,0:30,Riyanto SUBAGJA,LOH Kean Yew,21,19,21,17,,
192,2014,Yonex Sunrise Vietnam GP Open 2014,R64,0:46,LOH Kean Yew,Hoang Nam NGUYEN,14,21,21,14,21,15
193,2014,Yonex Sunrise Vietnam GP Open 2014,R32,0:50,Kanta TSUNEYAMA,LOH Kean Yew,21,17,14,21,21,8
194,2014,OUE Singapore International Series 2014,R64,0:20,"William, Wei Wern OOI",LOH Kean Yew,7,21,5,21,,
195,2014,OUE Singapore International Series 2014,R32,0:30,AI Wei Jian,LOH Kean Yew,15,21,10,21,,
196,2014,OUE Singapore International Series 2014,R16,0:30,Ahmadi SAMAN,LOH Kean Yew,16,21,6,21,,
197,2014,OUE Singapore International Series 2014,QF,0:35,Beryno Jiann Tze WONG,LOH Kean Yew,21,23,7,14,,
198,2014,OUE Singapore International Series 2014,SF,0:47,GOH Giap Chin,LOH Kean Yew,10,21,21,14,10,21
199,2014,OUE Singapore International Series 2014,Final,0:49,LOH Kean Yew,Kantaphon WANGCHAROEN,19,21,21,14,11,1
200,2014,Astec Indonesia International Challenge 2014,R64,0:31,LOH Kean Yew,Bandar Sigit PAMUNGKAS,,,,,,
201,2014,Astec Indonesia International Challenge 2014,R32,0:25,Vega Vio NIRWANDA,LOH Kean Yew,4,11,5,11,5,11
202,2014,Astec Indonesia International Challenge 2014,R16,0:50,Andre Kurniawan TEDJONO,LOH Kean Yew,,,,,,
203,2014,Astec Indonesia International Challenge 2014,QF,0:38,LOH Kean Yew,Jonatan CHRISTIE,,,,,,
204,2014,USM International Series 2014,R32,0:00,LOH Kean Yew,Vero Wisnu Kusuma WARDANA,BYE  ,13,,6,,
205,2014,USM International Series 2014,R64,0:00,LOH Kean Yew,Yobellto Rendy ISMANTO,BYE  ,14,,15,,
206,2014,USM International Series 2014,R16,0:00,Senatria Agus SETIA PUTRA,LOH Kean Yew,21,,13,,21,
207,2014,OUE Singapore Open,Qual. R16,0:28,LOH Kean Yew,Jiann Shiarng CHIANG,21,13,21,19,,
208,2014,OUE Singapore Open,Qual. QF,0:54,LOH Kean Yew,Sitthikom THAMMASIN,17,21,21,19,13,21
209,2014,Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2014,R64,1:03,Febriyan IRVANNALDY,LOH Kean Yew,17,21,21,17,21,13
210,2013,Maybank Malaysia Kuching International Challenge 2013,R64,0:47,Hiroki TAKEUCHI,LOH Kean Yew,19,21,21,14,21,19
211,2013,YONEX SUNRISE INDONESIA OPEN 2013,R64,0:30,LOH Kean Yew,Eka Fajar KUSUMA,21,19,21,8,,
212,2013,YONEX SUNRISE INDONESIA OPEN 2013,R32,0:46,LOH Kean Yew,Iskandar ZULKARNAIN,17,21,21,16,13,21
213,2013,Yonex Chinese Taipei Open 2013,R64,0:30,LOH Kean Yew,Chun Seang TAN,19,21,17,21,,
214,2013,Li-Ning Singapore International Series 2013,R64,0:55,LOH Kean Yew,Senatria Agus SETIA PUTRA,21,15,15,21,16,21
215,2013,Prim-A Indonesia International Challenge 2013,R64,0:00,LOH Kean Yew,Jonatan CHRISTIE,BYE  ,21,,19,,21
216,2013,Li Ning Singapore Open 2013,Qual. R16,0:25,Mohd Razif ABDUL LATIF,Kwan Ting Sean LEE,21,13,21,16,,
217,2013,SCG Thailand Open 2013,Qual. R32,0:18,Prem Singh CHOUHAN,LOH Kean Yew,8,21,10,21,,
218,2013,SCG Thailand Open 2013,Qual. R16,0:34,Khosit PHETPRADAB,LOH Kean Yew,21,14,21,12,,
